10.147.229.11	raspberrypi.GST.local	保留(活动的)	DHCP	b827eb4b5a22		完全访问	暂缺	无	
10.147.229.12	18J172804282.GST.local	保留(活动的)	DHCP	00074d79d657		完全访问	暂缺	无	
10.147.229.13	GP12-19-599NHG2.GST.local	2019/5/1 7:04:53	DHCP	f48e38b859ce		完全访问	暂缺	无	
10.147.229.14	Lilu-6M4MB02.GST.local	2019/5/4 9:33:55	DHCP	14b31f12ae39		完全访问	暂缺	无	
10.147.229.15	CN-4BMD922.GST.local	2019/5/2 19:00:39	DHCP	64006a1d1df7		完全访问	暂缺	无	
10.147.229.16	CellG06-BBB9922.GST.local	2019/5/4 7:11:29	DHCP	74e6e2f516f3		完全访问	暂缺	无	
10.147.229.18	Nurse-PC.GST.local	2019/5/4 8:10:19	DHCP	7845c43760c4		完全访问	暂缺	无	
10.147.229.20	GSTPC0154.GST.local	2019/5/2 9:12:59	DHCP	a41f72746eae		完全访问	暂缺	无	
10.147.229.21		2019/5/4 0:00:52	DHCP	70b3d5bcce87		完全访问	暂缺	无	
10.147.229.22	SuanS-9WW6XJ2.GST.local	2019/5/4 12:56:03	DHCP	484d7ecce94a		完全访问	暂缺	无	
10.147.229.24	LisaX-JGV6FY1.GST.local	2019/5/4 8:54:26	DHCP	b083fe537b60		完全访问	暂缺	无	
10.147.229.25	GSTPC0205.GST.local	2019/5/4 11:59:00	DHCP	b083fe537a05		完全访问	暂缺	无	
10.147.229.26	GSTPC0071.GST.local	2019/5/4 9:01:49	DHCP	d4bed9ba882a		完全访问	暂缺	无	
10.147.229.27	CellK07-9N6B922.GST.local	2019/5/4 8:03:54	DHCP	64006a1a2030		完全访问	暂缺	无	
10.147.229.28	CN-C8R90K2.GST.local	2019/5/4 11:41:23	DHCP	509a4c029339		完全访问	暂缺	无	
10.147.229.29	CN-HWLWR32.GST.local	2019/4/28 13:54:53	DHCP	34e6d769b4a5		完全访问	暂缺	无	
10.147.229.30	GP12-21-597HHG2.GST.local	2019/5/4 3:52:02	DHCP	f48e38b9a8a0		完全访问	暂缺	无	
10.147.229.32	JHZhu-J9JWDY1.GST.local	2019/5/3 7:11:56	DHCP	f8bc12996a41		完全访问	暂缺	无	
10.147.229.33	Guil-7H2T802.GST.local	2019/5/2 17:41:00	DHCP	14b31f2185bf		完全访问	暂缺	无	
10.147.229.34	CutingShow.GST.local	2019/5/2 12:55:13	DHCP	00e0b4167d09		完全访问	暂缺	无	
10.147.229.35	Laser-3ZTRB02.GST.local	2019/5/4 4:33:39	DHCP	14b31f2bb94a		完全访问	暂缺	无	
